,report_id,store_id,uptime_last_hour,downtime_last_hour,uptime_last_day,downtime_last_day,uptime_last_week,downtime_last_week
2648,46,2689246960539975030,,,4,0,28,0
2649,46,2689492195669291983,60,0,11,0,67,0
2650,46,2689915302676052787,0,60,0,23,0,161
2651,46,2689959411535120475,,,10,0,62,8
2652,46,2690363271653278476,,,0,10,0,70
2653,46,2690458306432819602,,,0,12,32,46
2654,46,2691459689526788096,,,0,5,0,67
2655,46,2692428880134718909,,,0,9,0,61
2656,46,2692810265197485558,60,0,23,0,154,0
2657,46,2692850887254434410,0,60,0,14,0,104
2658,46,2693250022775170406,,,,,,
2659,46,2693401631554250165,,,12,0,84,0
2660,46,2694503083362592440,,,0,12,0,84
2661,46,269542400927297147,60,0,23,0,89,0
2662,46,2695745960387144634,60,0,16,0,111,0
2663,46,2696644192611925431,60,0,23,0,86,0
2664,46,2697269656914267869,,,1,0,19,0
2665,46,2698644033932193210,,,1,0,62,0
2666,46,2699419836375486692,,,9,0,77,0
2667,46,2700013316652563371,60,0,23,0,161,0
2668,46,2700603557369392884,0,60,0,23,0,161
2669,46,2700628011432223575,,,0,3,5,16
2670,46,2700861810192743230,60,0,23,0,161,0
2671,46,2702925541921081675,,,13,0,86,0
2672,46,2703180363322156779,60,0,17,0,119,0
2673,46,2703321977983023614,,,2,0,49,0
2674,46,2704445545917899660,60,0,23,0,161,0
2675,46,2704641342259417998,,,1,0,7,0
2676,46,2704918614024357954,,,6,0,41,1
2677,46,2706029115798183685,60,0,23,0,142,0
2678,46,2706499680141579869,60,0,23,0,157,4
2679,46,2709380285707501229,0,60,0,23,0,161
2680,46,2709581171222246703,,,9,0,62,0
2681,46,2709669712354919612,,,4,0,50,2
2682,46,2709793571351043565,60,0,23,0,161,0
2683,46,27099145190781701,,,6,0,69,0
2684,46,2710298948626202684,60,0,23,0,161,0
2685,46,2710513246156414796,0,60,0,23,0,161
2686,46,2710729824005341176,0,60,0,15,15,90
2687,46,2711912582951652903,60,0,23,0,161,0
2688,46,2712646733820819206,,,0,5,0,60
2689,46,2712896568790981573,,,13,0,97,0
2690,46,2713567089809432901,,,12,0,84,0
2691,46,2713988560883187611,60,0,16,0,112,0
2692,46,2714672221288097391,,,4,0,28,0
2693,46,2714760176913238454,,,4,0,43,0
2694,46,2716608164810462503,60,0,14,0,103,0
2695,46,2716610122072123243,60,0,23,0,161,0
2696,46,2717033434149907233,,,11,0,69,0
2697,46,2717158589213138085,,,0,9,51,12
2698,46,2718982779913633393,60,0,7,0,65,0
2699,46,271958967638533554,,,8,0,66,0
2700,46,2719924621885007406,,,12,0,78,0
2701,46,2719959465741714286,60,0,23,0,69,92
2702,46,2720102999717457948,60,0,23,0,161,0
2703,46,2720338911902135987,,,8,0,91,0
2704,46,272039024606786236,60,0,23,0,161,0
2705,46,2720596710247570595,,,0,12,0,84
2706,46,2721301808450879583,,,2,0,14,0
2707,46,2721498297859747125,0,60,0,23,0,161
2708,46,2723172216807087715,60,0,23,0,161,0
2709,46,2723370672116413902,60,0,23,0,161,0
2710,46,2724272645854795279,,,8,3,48,23
2711,46,2724929947261057040,,,9,0,51,37
2712,46,2726009345124910231,60,0,14,0,94,0
2713,46,2727145861871886117,60,0,23,0,158,3
2714,46,2727482370194248974,,,,,0,14
2715,46,2727814058680719480,60,0,23,0,161,0
2716,46,272819484819652364,60,0,23,0,161,0
2717,46,2730798026104488590,0,60,10,13,25,46
2718,46,2731110255266386262,,,14,0,100,8
2719,46,2731235664672438508,,,9,0,77,0
2720,46,2732159944900277538,60,0,22,1,140,2
2721,46,273328954584548114,,,12,0,82,0
2722,46,2734353441360432503,,,0,2,0,19
2723,46,273630551366702124,0,60,0,23,0,161
2724,46,2737973195360321210,60,0,23,0,161,0
2725,46,2738345226327614168,0,60,10,13,77,84
2726,46,2739250325777580694,0,60,2,21,22,117
2727,46,2739506591976043860,,,6,6,51,26
2728,46,2739564275596596870,,,13,0,97,0
2729,46,2739571364086420885,60,0,23,0,161,0
2730,46,2740314805467984430,40,20,23,0,113,48
2731,46,2740615512029253738,60,0,23,0,161,0
2732,46,2740801298160305964,60,0,23,0,161,0
2733,46,274110167960305880,60,0,22,0,152,9
2734,46,2741619253208978943,,,,,,
2735,46,2741813902405087050,60,0,17,0,119,0
2736,46,2741837295837673320,,,8,0,52,0
2737,46,2742003467129972596,,,12,0,89,6
2738,46,2742824468566253435,,,12,0,84,0
2739,46,2742922331345394000,,,12,0,92,3
2740,46,2743635504145141919,60,0,11,0,82,0
2741,46,2743917683024367670,,,0,12,0,84
2742,46,2744147857218154839,60,0,22,1,154,7
2743,46,2744416706686545333,60,0,23,0,161,0
2744,46,274445836607151976,,,,,,
2745,46,2745405131043922955,,,11,0,87,2
2746,46,274614981129391348,,,0,0,52,0
2747,46,2746426715779371861,60,0,11,0,73,0
2748,46,2747280671840540979,60,0,23,0,161,0
2749,46,2747572519100114614,60,0,23,0,154,7
2750,46,2747995138788244473,40,20,0,23,36,125
2751,46,2748521691947363007,,,10,0,93,0
2752,46,2749037103784818563,0,60,0,23,0,161
2753,46,2749418230025200583,,,13,0,91,0
2754,46,2749541942859236169,,,13,0,91,0
2755,46,2752112637131956864,,,0,12,0,84
2756,46,275283200330093891,60,0,23,0,161,0
2757,46,2752990851432409017,,,13,0,91,0
2758,46,2753670559008137952,,,0,11,0,72
2759,46,2754373110915293479,60,0,23,0,161,0
2760,46,2754773730169016085,60,0,23,0,161,0
2761,46,2754798595514652782,,,0,11,0,71
2762,46,2755101295207873030,0,60,0,14,13,90
2763,46,2755282567814293240,,,6,0,66,0
2764,46,2755530136597699601,,,0,12,0,84
2765,46,2756278474425274636,,,0,10,0,69
2766,46,2757917931398939875,60,0,7,7,28,70
2767,46,2759980874799239411,,,11,0,101,0
2768,46,2760286954159658104,,,6,6,53,36
2769,46,2760430554103924395,60,0,23,0,161,0
2770,46,2761265486878242296,60,0,14,0,108,0
2771,46,2761752602748165541,,,5,6,43,34
2772,46,2762626927317616944,60,0,10,0,70,0
2773,46,2763793946070705196,0,60,0,13,13,78
2774,46,2764065563229087919,,,11,0,71,0
2775,46,2764504809834839035,,,8,0,55,0
2776,46,276690370979176858,,,11,0,72,0
2777,46,2769513937594443535,60,0,22,1,158,3
2778,46,2770477468047024277,60,0,14,0,103,0
2779,46,2770625562568026353,60,0,11,0,87,0
2780,46,2772672394068396364,60,0,23,0,161,0
2781,46,2773841949672681776,60,0,23,0,161,0
2782,46,277448271614433550,,,0,12,0,84
2783,46,277585435283306347,,,7,0,49,0
2784,46,2776552099673652520,60,0,14,9,59,32
2785,46,2776982894786182653,60,0,13,0,91,0
2786,46,2778791959950038080,,,9,0,57,0
2787,46,2779245455556092119,0,60,1,6,4,45
2788,46,2780357796304353564,,,0,9,8,69
2789,46,2781981197372318609,60,0,23,0,161,0
2790,46,2782076934035041918,60,0,13,0,91,0
